iter	Passed	Remaining
0	1	193
1	3	161
2	5	166
3	6	161
4	8	161
5	9	155
6	11	157
7	13	158
8	15	156
9	17	154
10	18	153
11	20	150
12	22	147
13	23	145
14	25	144
15	27	141
16	28	139
17	30	139
18	32	136
19	33	134
20	35	131
21	36	130
22	38	127
23	39	126
24	41	124
25	43	123
26	44	121
27	46	120
28	48	118
29	49	116
30	51	114
31	52	112
32	54	110
33	55	108
34	57	106
35	59	105
36	61	104
37	62	102
38	64	100
39	65	98
40	67	97
41	68	94
42	69	92
43	71	90
44	72	88
45	74	87
46	76	86
47	78	84
48	79	82
49	81	81
50	82	79
51	84	78
52	86	76
53	88	75
54	89	72
55	91	71
56	92	69
57	94	68
58	95	66
59	97	64
60	98	63
61	100	61
62	101	59
63	103	57
64	104	56
65	106	55
66	108	53
67	110	51
68	112	50
69	113	48
70	115	47
71	116	45
72	118	43
73	119	42
74	121	40
75	123	38
76	125	37
77	126	35
78	128	34
79	129	32
80	131	30
81	133	29
82	135	27
83	136	26
84	138	24
85	140	22
86	141	21
87	143	19
88	144	17
89	146	16
90	147	14
91	149	12
92	150	11
93	152	9
94	154	8
95	155	6
96	157	4
97	159	3
98	160	1
99	162	0
